label,latitude,longitude,datasource,status,welltagno,emsid,uniqueID,elevation,summary,name,x,y
OW384,50.499953,-119.211984,Active well with real-time data,Active,93924,E275523,384,503.67,Observation Well 384 was included in the network in 2008. It is located in a confined sand and gravel aquifer identified as Aquifer #102 in Hullcar. ,OBS WELL 384 - Hullcar,-13270617.355335876,6533313.342413293
OW387,49.66968,-119.38021,Active well with real-time data,Active,94930,E277649,387,0,Observation Well 387 was included in the network in 2008. It is located in an unmapped bedrock aquifer near Naramata. ,OBS WELL 387 - Naramata,-13289344.187994065,6389265.546374972
OW401,49.023341,-119.363599,Active well without real-time data,Active,102362,E283989,401,0,Observation Well 401 was included in the network in 2010. It is located in a bedrock aquifer identified as Aquifer #808 near Osoyoos. ,OBS WELL 401 - Osoyoos,-13287495.059932496,6278822.801760621
OW402,49.030404,-119.347269,Active well with real-time data,Active,102364,E283990,402,0,Observation Well 402 was included in the network in 2010. It is located in a bedrock aquifer identified as Aquifer #936 near Osoyoos. ,OBS WELL 402 - Osoyoos,-13285677.212647844,6280021.892174659
OW405,49.16931,-119.5639,Active well with real-time data,Active,104536,E284852,405,315.983,Observation Well 405 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #256 in Oliver. ,OBS WELL 405 - Oliver,-13309792.465257881,6303638.740539616
OW407,49.21599,-119.54109,Active well with real-time data,Active,104537,E284853,407,310.505,Observation Well 407 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #255 near Oliver. ,OBS WELL 407 - Oliver,-13307253.267672887,6311590.16144538
OW404,49.31622,-119.72883,Active well with real-time data,Active,104538,E284851,404,816,Observation Well 404 was included in the network in 2011. It is located in a bedrock aquifer identified as Aquifer #260 near Twin Lakes. ,OBS WELL 404 - Twin Lakes,-13328152.388874417,6328688.640904073
OW403,49.33003,-119.72338,Active well with real-time data,Active,104539,E284850,403,822,Observation Well 403 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #261 near Twin Lakes. ,OBS WELL 403 - Twin Lakes,-13327545.697649594,6331047.248140106
OW409,50.510481,-119.225923,Active well with real-time data,Active,104830,E288429,409,513.11,Observation Well 409 was included in the network in 2012. It is located in an unconfined sand and gravel aquifer identified as Aquifer #103 near Spallumcheen. ,OBS WELL 409 - Spallumcheen,-13272169.037718043,6535156.042005864
OW411,49.83667,-119.68638,Active well with real-time data,Active,106351,E289189,411,790,Observation Well 411 was included in the network in 2012. It is located in a bedrock aquifer identified as Aquifer #304 near West Kelowna. ,OBS WELL 411 - West Kelowna,-13323426.87649024,6418037.862866126
