label,latitude,longitude,datasource,status,welltagno,emsid,uniqueID,elevation,summary,name,x,y
OW173,50.10688,-119.36066,Inactive well,Inactive,8374,1401126,173,0,Observation Well 173 was active between 1972 and 2009. It was located in a confined sand and gravel aquifer identified as Aquifer #345 in Oyama. ,OBS WELL 173 - Oyama,-13287167.891949056,6464806.190106157
OW176,50.08588,-119.37663,Inactive well,Inactive,8533,1401134,176,0,Observation Well 176 was active between 1972 and 2009. It was located in a confined sand and gravel aquifer identified as Aquifer #345 near Oyama. ,OBS WELL 176 - Oyama,-13288945.664217027,6461162.04937466
OW174,50.1028,-119.36565,Inactive well,Inactive,8608,1401131,174,0,Observation Well 174 was active between 1972 and 2009. It was located in a confined sand and gravel aquifer identified as Aquifer #345 in Oyama. ,OBS WELL 174 - Oyama,-13287723.376208115,6464098.060593362
OW175,50.09754,-119.36272,Inactive well,Inactive,8623,1400022,175,0,Observation Well 175 was active between 1972 and 2007. It was located in a bedrock aquifer identified as Aquifer #1022 near Oyama. ,OBS WELL 175 - Oyama,-13287397.21010009,6463185.217914238
OW053,50.14622,-119.40034,Inactive well,Inactive,19772,1401040,53,0,Observation Well 053 was active between 1969 and 2008. It was located in a bedrock aquifer identified as Aquifer #471 near Carrs Landing. ,OBS WELL 053 - Carrs Landing,-13291585.049343733,6471637.183100214
OW076,49.20367,-119.8283,Inactive well,Inactive,22585,1401031,76,0,Observation Well 076 was active between 1969 and 2010. It was located in an unconfined sand and gravel aquifer identified as Aquifer #259 in Keremeos. ,OBS WELL 076 - Keremeos,-13339225.338623622,6309490.856963293
OW077,49.20864,-119.81307,Inactive well,Inactive,22625,1401032,77,0,"Observation Well 077 was active between 1968 and 2010 (however, data is available only from 1972 to 2010). It was located in an unconfined sand and gravel aquifer identified as Aquifer #259 in Keremeos. ",OBS WELL 077 - Keremeos,-13337529.942778843,6310337.672525753
OW054,50.14502,-119.40084,Inactive well,Inactive,22692,1401041,54,0,Observation Well 054 was active between 1969 and 2008. It was located in a bedrock aquifer identified as Aquifer #471 near Carrs Landing. ,OBS WELL 054 - Carrs Landing,-13291640.709089132,6471428.732189712
OW105,49.05271,-119.50467,Inactive well,Inactive,22702,1401089,105,0,Observation Well 105 was active between 1969 and 2009. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos. ,OBS WELL 105 - Osoyoos,-13303199.011818198,6283809.915371376
OW107,49.0556,-119.50169,Inactive well,Inactive,22706,1401091,107,0,Observation Well 107 was active between 1969 and 2009. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos. ,OBS WELL 107 - Osoyoos,-13302867.27973563,6284300.821891547
OW102,49.06118,-119.50805,Inactive well,Inactive,22713,1401086,102,0,Observation Well 102 was active between 1969 and 2008. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos. ,OBS WELL 102 - Osoyoos,-13303575.271697076,6285248.74292085
OW101,49.05741,-119.51228,Inactive well,Inactive,22731,1401084,101,0,Observation Well 101 was active between 1969 and 2017. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos. ,OBS WELL 101 - Osoyoos,-13304046.153143134,6284608.289991148
OW100,49.05837,-119.5106,Inactive well,Inactive,22733,1401083,100,0,Observation Well 100 was active between 1969 and 2008. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos. ,OBS WELL 100 - Osoyoos,-13303859.1363986,6284771.371538237
OW096,49.02825,-119.47653,Inactive well,Inactive,22769,1401093,96,0,Observation Well 096 was active between 1969 and 2020. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos. ,OBS WELL 096 - Osoyoos,-13300066.481347272,6279656.188060252
OW097,49.02828,-119.47586,Inactive well,Inactive,22772,1401094,97,0,Observation Well 097 was active between 1969 and 2008. It was located in an unconfined sand and gravel aquifer identified as Aquifer #193 (Osoyoos West Aquifer) in Osoyoos. ,OBS WELL 097 - Osoyoos,-13299991.89728844,6279661.281323604
OW152,49.5707,-119.62876,Inactive well,Inactive,22793,1400968,152,0,"Observation Well 152 was active between 1969 and 1995 (however, data is available only from 1989 to 1995). It was located in an unconfined sand and gravel aquifer identified as Aquifer #297 in Summerland. ",OBS WELL 152 - Summerland,-13317012.647430733,6372257.9324177
OW153,49.56668,-119.62417,Inactive well,Inactive,22796,1400969,153,0,Observation Well 153 was active between 1969 and 2007. It was located in an unconfined sand and gravel aquifer identified as Aquifer #297 in Summerland. ,OBS WELL 153 - Summerland,-13316501.690967994,6371567.90999277
OW158,49.57168,-119.64562,Inactive well,Inactive,22813,1400974,158,0,Observation Well 158 was active between 1969 and 2007. It was located in an unconfined sand and gravel aquifer identified as Aquifer #297 in Summerland. ,OBS WELL 158 - Summerland,-13318889.494045507,6372426.155454799
OW119,50.42612,-119.21713,Inactive well,Inactive,24104,1400958,119,0,Observation Well 119 was active between 1971 and 2010. It was located in a confined sand and gravel aquifer identified as Aquifer #1153 near Spallumcheen. ,OBS WELL 119 - Spallumcheen,-13271190.205435498,6520401.992275218
