#List - Latest @ 2026-07-16 09:41 (UTC-07:00),,,,,
Identifier,Location,Location Folder,Location Type,Value,Status
08LC0001,Duteau at Whitevale Road (DUT1),Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08LC0002,Nicklen Creek at outlet of Nicklen Dam (NIK1),Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08LC0003,Nicklen Lake (NIKL),Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0002,Equesis Creek near the Mouth,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0003,Vaseux Creek near the Mouth,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0004,Shorts Creek at the Canyon,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0005,Upper Vernon Creek below Swalwell Lake,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0006,Coldstream Creek Near McClounie Road,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0007,Equesis Creek at the Mouth,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0008,Equesis Creek at Bonneau Road,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0009,Lower Vernon Creek near Okanagan Landing Road,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0010,McDougall Creek near the Mouth,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0011,McDougall Creek at Bartley Road,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0012,Mission Creek above Gordon Drive,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
08NM0013,Mission Creek at Casorso Road,Locations.HYDROMETRIC,Hydrometric,Hydrometric,Hydrometric (Other)
