"refresh_ts","n_stations","panel_rows","family","dev_expl","mean_per_stream_rmse","worst_per_stream","cache_bytes"
"2026-08-08 06:33:57 UTC",26,11123,"gaulss",0.996,0.506,"08NM050 (0.94)",4641
"2026-08-08 09:30:40 UTC",26,11123,"gaulss",0.996,0.506,"08NM050 (0.94)",4629
"2026-08-08 12:28:02 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4672
"2026-08-08 15:21:26 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4687
"2026-08-08 18:23:00 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4701
"2026-08-08 21:23:12 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4740
"2026-08-09 00:44:53 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4609
"2026-08-09 04:12:32 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4572
"2026-08-09 06:38:27 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4617
"2026-08-09 09:31:40 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4623
"2026-08-09 12:25:24 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4632
"2026-08-09 12:31:18 UTC",26,11122,"gaulss",0.996,0.505,"08NM050 (0.94)",4636
"2026-08-09 15:24:45 UTC",26,11122,"gaulss",0.996,0.505,"08NM050 (0.94)",4643
"2026-08-09 21:25:28 UTC",26,11122,"gaulss",0.996,0.505,"08NM050 (0.94)",4656
"2026-08-10 00:46:27 UTC",26,11122,"gaulss",0.996,0.505,"08NM050 (0.94)",4538
"2026-08-10 04:24:12 UTC",26,11122,"gaulss",0.996,0.505,"08NM050 (0.94)",4543
"2026-08-10 07:07:53 UTC",26,11122,"gaulss",0.996,0.505,"08NM050 (0.94)",4575
"2026-08-10 10:10:49 UTC",26,11122,"gaulss",0.996,0.505,"08NM050 (0.94)",4598
"2026-08-10 12:46:30 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4667
"2026-08-10 15:51:52 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4628
"2026-08-10 18:44:16 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4688
"2026-08-10 21:35:24 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4668
"2026-08-11 00:49:00 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4603
"2026-08-11 04:13:26 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4595
"2026-08-11 09:52:21 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4632
"2026-08-11 12:39:28 UTC",26,12193,"gaulss",0.9963,0.507,"08NM050 (0.94)",4670
"2026-08-11 12:45:10 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4682
"2026-08-11 15:51:38 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4654
"2026-08-11 18:47:51 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4682
"2026-08-11 21:38:13 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4691
"2026-08-12 00:53:27 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4587
"2026-08-12 04:36:26 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4576
"2026-08-12 07:08:04 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4634
"2026-08-12 09:56:59 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4617
"2026-08-12 12:41:55 UTC",26,12192,"gaulss",0.9963,0.507,"08NM050 (0.94)",4669
"2026-08-12 12:46:43 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4640
"2026-08-12 15:53:42 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4622
"2026-08-12 18:48:56 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4683
"2026-08-12 21:38:07 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4663
"2026-08-13 00:54:25 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4592
"2026-08-13 04:48:27 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4583
"2026-08-13 07:12:36 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4620
"2026-08-13 09:57:14 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4614
"2026-08-13 12:43:04 UTC",26,11123,"gaulss",0.9961,0.505,"08NM050 (0.94)",4630
"2026-08-13 12:48:11 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4642
"2026-08-13 15:51:17 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4628
"2026-08-13 18:49:09 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4675
"2026-08-13 21:38:43 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4658
"2026-08-14 00:53:31 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4566
"2026-08-14 04:46:11 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4614
"2026-08-14 07:07:39 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4638
"2026-08-14 09:53:34 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4612
"2026-08-14 12:38:27 UTC",26,11122,"gaulss",0.996,0.506,"08NM050 (0.94)",4628
"2026-08-14 12:42:53 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4629
"2026-08-14 15:46:48 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4636
"2026-08-14 18:43:08 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4678
"2026-08-14 21:19:09 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4691
"2026-08-15 00:31:53 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4619
"2026-08-15 03:32:24 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4525
"2026-08-15 06:20:50 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4566
"2026-08-15 09:18:53 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4615
"2026-08-15 12:15:39 UTC",26,11118,"gaulss",0.9961,0.506,"08NM050 (0.94)",4659
"2026-08-15 12:20:47 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4647
"2026-08-15 15:13:23 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4679
"2026-08-15 18:14:11 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4706
"2026-08-15 21:14:51 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4684
"2026-08-16 00:32:39 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4588
"2026-08-16 03:41:57 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4581
"2026-08-16 06:22:17 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4601
"2026-08-16 09:21:08 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4653
"2026-08-16 12:16:51 UTC",26,12188,"gaulss",0.9963,0.508,"08NM050 (0.94)",4671
"2026-08-16 12:21:09 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4675
"2026-08-16 15:14:57 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4670
"2026-08-16 18:14:48 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4708
"2026-08-16 21:13:43 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4711
"2026-08-17 00:31:45 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4653
"2026-08-17 03:43:14 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4598
"2026-08-17 06:32:23 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4618
"2026-08-17 09:32:14 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4651
"2026-08-17 12:19:56 UTC",26,12186,"gaulss",0.9963,0.508,"08NM050 (0.94)",4662
"2026-08-17 12:26:05 UTC",26,11127,"gaulss",0.9961,0.507,"08NM050 (0.94)",4635
