"station","name","lat","lon","drainage_area_km2","first_banked_date","last_banked_date","n_obs","external_historical_record"
"08NM002","OKANAGAN RIVER AT OKANAGAN FALLS",49.3420486450195,-119.580406188965,6686,2024-10-19,2026-08-18,669,"2002-2016 (15 yr) — WSC observations, retained by INRS"
"08NM037","SHATFORD CREEK NEAR PENTICTON",49.4274597167969,-119.75154876709,101.099998474121,2024-10-19,2026-08-18,669,""
"08NM050","OKANAGAN RIVER AT PENTICTON",49.4985198974609,-119.615356445312,5956,2024-10-19,2026-08-18,669,""
"08NM065","VERNON CREEK AT OUTLET OF KALAMALKA LAKE",50.238468170166,-119.266891479492,574.099975585938,2024-10-19,2026-08-18,669,""
"08NM083","OKANAGAN LAKE AT KELOWNA",49.8861312866211,-119.499656677246,5956,2024-10-19,2026-08-18,669,""
"08NM085","OKANAGAN RIVER NEAR OLIVER",49.1146202087402,-119.566650390625,7526,2024-10-19,2026-08-18,669,""
"08NM116","MISSION CREEK NEAR EAST KELOWNA",49.8779296875,-119.413467407227,784.5,2024-10-19,2026-08-18,664,""
"08NM134","CAMP CREEK AT MOUTH NEAR THIRSK",49.7123413085938,-120.011169433594,35.8699989318848,2024-10-19,2026-08-18,0,""
"08NM139","ESPERON CREEK NEAR KELOWNA",50.0729217529297,-119.686248779297,14.6700000762939,2024-10-19,2026-08-15,651,""
"08NM143","KALAMALKA LAKE AT VERNON PUMPHOUSE",50.2299194335938,-119.274421691895,573.400024414062,2024-10-19,2026-08-18,669,""
"08NM146","CLARK CREEK NEAR WINFIELD",50.0487518310547,-119.335968017578,17.2700004577637,2024-10-19,2026-08-18,0,""
"08NM158","TROUT CREEK AT THE MOUTH",49.5679702758789,-119.631721496582,736.299987792969,2024-10-19,2026-08-18,668,""
"08NM160","VERNON CREEK NEAR THE MOUTH",50.2579193115234,-119.301139831543,734.900024414062,2024-10-19,2026-08-18,669,""
"08NM165","LAMBLY CREEK ABOVE TERRACE CREEK",49.9969215393066,-119.61572265625,77.5400009155273,2024-10-19,2026-08-18,669,""
"08NM171","VASEUX CREEK ABOVE SOLCO CREEK",49.2492790222168,-119.321388244629,117.900001525879,2024-10-19,2026-08-18,669,""
"08NM172","PEARSON CREEK NEAR THE MOUTH",49.8867492675781,-119.061363220215,72.9199981689453,2024-10-19,2026-08-18,669,""
"08NM174","WHITEMAN CREEK ABOVE BOULEAU CREEK",50.2120018005371,-119.543746948242,108.199996948242,2024-10-19,2026-08-18,669,""
"08NM200","INKANEEP CREEK NEAR THE MOUTH",49.0778388977051,-119.502059936523,184.399993896484,2024-10-19,2026-08-18,664,"2006-2016 (11 yr) — WSC observations, retained by INRS"
"08NM232","BELGO CREEK BELOW HILDA CREEK",50.0004081726074,-119.072830200195,64.0899963378906,2024-10-19,2026-08-18,653,""
"08NM240","TWO FORTY CREEK NEAR PENTICTON",49.6508903503418,-119.400032043457,4.86999988555908,2024-10-19,2026-08-18,664,""
"08NM241","TWO FORTY-ONE CREEK NEAR PENTICTON",49.6500396728516,-119.393852233887,5.15999984741211,2024-10-19,2026-08-18,647,"2016-2016 (1 yr) — WSC observations, retained by INRS"
"08NM242","DENNIS CREEK NEAR 1780 METRE CONTOUR",49.6241683959961,-119.38143157959,4.05999994277954,2024-10-19,2026-08-18,669,"2016-2016 (1 yr) — WSC observations, retained by INRS"
"08NM247","OKANAGAN RIVER BELOW MCINTYRE DAM",49.2568397521973,-119.528030395508,6825,2024-10-19,2026-08-18,666,"2012-2016 (5 yr) — WSC observations, retained by INRS"
"08NM248","COLDSTREAM CREEK AT COLDSTREAM CREEK ROAD",50.2167091369629,-119.224548339844,193.199996948242,2024-10-19,2026-08-18,669,""
"08NM249","B.X. CREEK AT B.X. RANCH PARK",50.2812194824219,-119.233779907227,,2024-10-19,2026-08-18,669,""
"08NM250","VERNON CREEK AT SWALWELL PARK",50.02880859375,-119.401580810547,146,2024-10-19,2026-08-18,652,""
