Well,latitude,longitude,datasource,status,welltagno,emsid,uniqueID,elevation,summary,name,x,y
OW407,49.21599,-119.54109,Active well with real-time data,Active,104537,E284853,407,310.505,Observation Well 407 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #255 near Oliver.,OBS WELL 407 - Oliver,-13307253.27,6311590.161
OW404,49.31622,-119.72883,Active well with real-time data,Active,104538,E284851,404,816,Observation Well 404 was included in the network in 2011. It is located in a bedrock aquifer identified as Aquifer #260 near Twin Lakes.,OBS WELL 404 - Twin Lakes,-13328152.39,6328688.641
OW403,49.33003,-119.72338,Active well with real-time data,Active,104539,E284850,403,822,Observation Well 403 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #261 near Twin Lakes.,OBS WELL 403 - Twin Lakes,-13327545.7,6331047.248
OW409,50.510481,-119.225923,Active well with real-time data,Active,104830,E288429,409,513.11,Observation Well 409 was included in the network in 2012. It is located in an unconfined sand and gravel aquifer identified as Aquifer #103 near Spallumcheen.,OBS WELL 409 - Spallumcheen,-13272169.04,6535156.042
OW411,49.83667,-119.68638,Active well with real-time data,Active,106351,E289189,411,790,Observation Well 411 was included in the network in 2012. It is located in a bedrock aquifer identified as Aquifer #304 near West Kelowna.,OBS WELL 411 - West Kelowna,-13323426.88,6418037.863
OW410,49.88097,-119.254509,Active well with real-time data,Active,106355,E288430,410,1069.48,Observation Well 410 was included in the network in 2012. It is located in a bedrock aquifer identified as Aquifer #473 near Kelowna.,OBS WELL 410 - Kelowna,-13275351.22,6425687.403
OW442,49.950925,-119.365802,Active well with real-time data,Active,107712,E293350,442,435.57,Observation Well 442 was included in the network in 2013. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna.,OBS WELL 442 - Kelowna,-13287740.3,6437781.249
OW413,49.856567,-119.39871,Active well with real-time data,Active,107713,E293349,413,490.45,Observation Well 413 was included in the network in 2013. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna.,OBS WELL 413 - Kelowna,-13291403.6,6421472.727
OW467,49.02232,-119.42551,Active well with real-time data,Active,115691,E311344,467,347.54,Observation Well 467 was included in the network in 2018. It is located in an unconfined sand and gravel aquifer identified as Aquifer #194 near Osoyoos Lake.,OBS WELL 467 - Osoyoos Lake,-13294386.96,6278649.48
OW487,50.219445,-119.003821,Active well with real-time data,Active,120396,E319371,487,520.86,Observation Well 487 was included in the network in 2020. It is located in a confined sand and gravel aquifer identified as Aquifer #314 in Lumby.,OBS WELL 487 - Lumby,-13247444.76,6484366.942
OW506,49.24813,-119.52476,Active well with real-time data,Active,125206,E326591,506,0,Observation Well 506 was included in the network in 2021. It is located in an unconfined sand and gravel aquifer identified as Aquifer #255 near the Okanagan River.,OBS WELL 506 - Okanagan River,-13305435.42,6317069.22
OW515,50.49998,-119.561751,Active well with real-time data,Active,128014,E331411,515,587.59,Observation Well 515 was included in the network in 2023. It is located in a confined sand and gravel aquifer identified as Aquifer #98 (Salmon River – Lower Aquifer) in Falkland.,OBS WELL 515 - Falkland,-13309553.24,6533318.068
OW514,50.499981,-119.561773,Active well with real-time data,Active,128015,E331412,514,587.55,Observation Well 514 was included in the network in 2023. It is located in an unconfined sand and gravel aquifer identified as Aquifer #97 (Salmon River – Upper Aquifer) in Falkland.,OBS WELL 514 - Falkland,-13309555.69,6533318.243
OW512,49.082627,-119.571678,Active well with real-time data,Active,128380,E330911,512,584.06,Observation Well 512 was included in the network in 2023. It is located in a bedrock aquifer identified as Aquifer #238 in the South Okanagan Grasslands Protected Area near Osoyoos.,OBS WELL 512 (DEEP) - South Okanagan Grasslands Protected Area,-13310658.31,6288893.114
OW510,50.436207,-119.227912,Active well with real-time data,Active,128403,E330711,510,359.92,Observation Well 510 was included in the network in 2023. It is located in a confined sand and gravel aquifer identified as Aquifer #1153 near Armstrong.,OBS WELL 510 - Armstrong,-13272390.45,6522164.741
OW518,50.467333,-119.748417,Active well with real-time data,Active,130861,E335684,518,0,Observation Well 518 was included in the network in 2024. It is located in an unconfined sand and gravel identified as Aquifer #289 (Westwold Aquifer) in Westwold.,OBS WELL 518 - Westwold,-13330332.8,6527606.521
OW172,50.111364,-119.356336,Active well with real-time data,Active,8596,1401123,172,409.57,Observation Well 172 was included in the network in 1972. It is located in an unconfined sand and gravel aquifer identified as Aquifer #1238 in Oyama.,OBS WELL 172 - Oyama,-13286686.55,6465584.508
OW045,50.474341,-119.757755,Active well without real-time data,Active,19522,1401043,45,0,Observation Well 045 was included in the network in 1965. It is located in an unconfined sand and gravel aquifer identified as Aquifer #289 in Westwold.,OBS WELL 045 - Westwold,-13331372.31,6528832.228
OW075,49.20635,-119.82532,Active well with real-time data,Active,20533,1401030,75,413.655,Observation Well 075 was included in the network in 1967. It is located in an unconfined sand and gravel aquifer identified as Aquifer #259 in Keremeos.,OBS WELL 075 - Keremeos,-13338893.61,6309947.479
OW154,49.57765,-119.63526,Active well without real-time data,Active,22792,1400970,154,0,Observation Well 154 was included in the network in 1969. It is located in an unconfined sand and gravel aquifer identified as Aquifer #297 near Summerland.,OBS WELL 154 - Summerland,-13317736.22,6373451.016
OW115,49.94642,-118.94698,Active well with real-time data,Active,23980,1401038,115,0,Observation Well 115 was included in the network in 1970. It is located in an unmapped bedrock aquifer near Graystokes Provincial Park.,OBS WELL 115 - Graystokes Provincial Park,-13241117.24,6437001.894
OW117,50.427103,-119.227723,Active well with real-time data,Active,24062,1400957,117,374.17,Observation Well 117 was included in the network in 1971. It is located in a confined sand and gravel aquifer identified as Aquifer #1155 near Armstrong.,OBS WELL 117 - Armstrong,-13272369.41,6520573.759
OW118,50.471616,-119.131593,Active well with real-time data,Active,24080,1400964,118,383.28,Observation Well 118 was included in the network in 1971. It is located in a confined sand and gravel aquifer identified as Aquifer #1155 near Armstrong.,OBS WELL 118 - Armstrong,-13261668.27,6528355.601
OW122,50.507359,-119.129053,Active well with real-time data,Active,24093,1400962,122,369.5,Observation Well 122 was included in the network in 1971. It is located in a confined sand and gravel aquifer identified as Aquifer #1155 near Enderby.,OBS WELL 122 - Enderby,-13261385.52,6534609.56
OW185,50.510924,-119.354275,Active well with real-time data,Active,30438,1400001,185,421.05,Observation Well 185 was included in the network in 1974. It is located in an unconfined sand and gravel aquifer identified as Aquifer #97 in the Salmon River Valley.,OBS WELL 185 - Salmon River Valley,-13286457.12,6535233.589
OW180,50.403154,-119.216609,Active well with real-time data,Active,32340,1400951,180,420.82,Observation Well 180 was included in the network in 1972. It is located in an unconfined sand and gravel aquifer identified as Aquifer #353 near Armstrong.,OBS WELL 180 - Armstrong,-13271132.21,6516389.979
OW203,49.17459,-119.73606,Active well with real-time data,Active,33378,1401377,203,417.739,Observation Well 203 was included in the network in 1975. It is located in an unconfined sand and gravel aquifer identified as Aquifer #259 near Cawston.,OBS WELL 203 - Cawston,-13328957.23,6304537.754
OW236,49.879083,-119.399573,Active well with real-time data,Active,41865,1400095,236,396.9,Observation Well 236 was included in the network in 1979. It is located in a confined sand and gravel aquifer identified as Aquifer #464 near Rutland.,OBS WELL 236 - Rutland,-13291499.67,6425361.421
OW262,49.860097,-119.421006,Active well with real-time data,Active,44358,1401808,262,427.5,Observation Well 262 was included in the network in 1980. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna.,OBS WELL 262 - Kelowna,-13293885.58,6422082.266
OW047,50.36584,-119.08544,Active well without real-time data,Active,49951,1401050,47,1822,Observation Well 047 was included in the network in 1965. It is located in a bedrock aquifer identified as Aquifer #351 at Silver Star Mountain.,OBS WELL 047 - Silver Star Mountain,-13256530.54,6509875.606
OW282,49.26313,-119.59171,Active well with real-time data,Active,51824,1401947,282,441.819,Observation Well 282 was included in the network in 1983. It is located in a confined sand and gravel aquifer identified as Aquifer #257 in Willowbrook.,OBS WELL 282 - Willowbrook,-13312888.26,6319627.563
OW294,50.219595,-119.003824,Active well with real-time data,Active,55834,E206576,294,520.81,Observation Well 294 was included in the network in 1986. It is located in an unconfined sand and gravel aquifer identified as Aquifer #316 in Lumby.,OBS WELL 294 - Lumby,-13247445.09,6484393.038
OW306,49.438271,-119.086497,Active well with real-time data,Active,58685,E207754,306,784.715,Observation Well 306 was included in the network in 1989. It is located in an unconfined sand and gravel aquifer identified as Aquifer #482 in Beaverdell.,OBS WELL 306 - Beaverdell,-13256648.21,6349556.667
